event_id,action,allowed,policy_reason,simulated_success_probability,recovery_success,revenue_recovered,event_type,timestamp,customer_id,merchant_id,amount,currency,payment_method,device_type,payment_status,failure_type,retry_count,previous_attempt_hours,checkout_duration_seconds,payment_page_reached,payment_attempted,subscription_age_days,successful_cycles,failed_cycles,true_recovery_probability,customer_tenure_days,total_transactions,successful_transactions,failed_transactions,historical_success_rate_x,avg_transaction_amount_x,previous_recovery_success_rate,days_since_last_success,preferred_payment_method,merchant_category,merchant_size,avg_transaction_amount_y,historical_success_rate_y,historical_failure_rate,event_hour,day_of_week,month
EVT_00000008,RETRY_LATER,True,ALLOWED,0.676538,1,4906.6,CHECKOUT_ABANDONMENT,2026-08-23 13:01:13,CUS_001694,MER_00162,4906.6,INR,UPI,MOBILE,AT_RISK,,0,15.14,332,True,False,0,0,0,0.726538,610,26,22,4,0.8462,5289.07,0.4653,36,CARD,DIGITAL_SERVICES,LARGE,1610.3,0.8922,0.1078,13,6,8
EVT_00000011,RECOVERY_REMINDER,True,ALLOWED,0.807628,1,3232.27,CHECKOUT_ABANDONMENT,2026-08-29 13:20:54,CUS_000319,MER_00071,3232.27,INR,CARD,MOBILE,AT_RISK,,0,67.43,686,True,False,0,0,0,0.657628,1409,68,45,23,0.6618,2809.77,0.5535,75,WALLET,TRAVEL,MEDIUM,1476.19,0.8534,0.1466,13,5,8
EVT_00000022,RETRY_LATER,True,ALLOWED,0.734119,1,4815.98,PAYMENT_FAILURE,2026-08-20 02:16:09,CUS_000527,MER_00047,4815.98,INR,CARD,DESKTOP,FAILED,NETWORK_ERROR,0,56.0,0,False,False,0,0,0,0.614119,1387,38,36,2,0.9474,6314.71,0.8624,52,UPI,DIGITAL_SERVICES,SMALL,5866.47,0.813,0.187,2,3,8
EVT_00000026,RETRY_LATER,True,ALLOWED,0.656382,1,5699.8,CHECKOUT_ABANDONMENT,2026-08-16 09:26:22,CUS_001274,MER_00145,5699.8,INR,CARD,DESKTOP,AT_RISK,,0,12.82,150,True,False,0,0,0,0.706382,1022,32,24,8,0.75,2028.64,0.1122,48,CARD,DIGITAL_SERVICES,SMALL,22876.16,0.9386,0.0614,9,6,8
EVT_00000027,RETRY_LATER,True,ALLOWED,0.792472,1,4235.78,PAYMENT_FAILURE,2026-08-27 22:12:04,CUS_000785,MER_00022,4235.78,INR,CARD,DESKTOP,FAILED,BANK_TECHNICAL_ERROR,0,42.52,0,False,False,0,0,0,0.672472,732,73,70,3,0.9589,1356.49,0.6299,58,CARD,DIGITAL_SERVICES,LARGE,2602.03,0.8671,0.1329,22,3,8
EVT_00000028,RETRY_LATER,True,ALLOWED,0.186009,1,5889.06,PAYMENT_FAILURE,2026-08-13 06:33:23,CUS_000746,MER_00067,5889.06,INR,UPI,MOBILE,FAILED,PAYMENT_LIMIT,1,5.28,0,False,False,0,0,0,0.336009,565,32,28,4,0.875,4266.09,0.6754,63,NETBANKING,TRAVEL,SMALL,6615.57,0.8781,0.1219,6,3,8
EVT_00000036,ALTERNATIVE_PAYMENT,True,ALLOWED,0.42715,1,1038.63,PAYMENT_FAILURE,2026-08-06 23:35:10,CUS_000110,MER_00008,1038.63,INR,WALLET,MOBILE,FAILED,BANK_TECHNICAL_ERROR,3,9.27,0,False,False,0,0,0,0.39715,1066,23,21,2,0.913,1108.7,0.6428,69,CARD,DIGITAL_SERVICES,MEDIUM,6017.04,0.8847,0.1153,23,3,8
EVT_00000041,RETRY_LATER,False,RETRY_LIMIT_REACHED,0.0,0,0.0,PAYMENT_FAILURE,2026-08-23 10:01:18,CUS_001092,MER_00071,41614.64,INR,CARD,DESKTOP,FAILED,INSUFFICIENT_BALANCE,3,55.39,0,False,False,0,0,0,0.23154,688,31,27,4,0.871,18612.36,0.8089,59,CARD,TRAVEL,MEDIUM,1476.19,0.8534,0.1466,10,6,8
EVT_00000049,RETRY_LATER,True,ALLOWED,0.487531,0,0.0,SUBSCRIPTION_FAILURE,2026-08-28 20:51:19,CUS_000955,MER_00101,3181.77,INR,CARD,TABLET,AT_RISK,,0,11.5,0,False,False,574,17,1,0.537531,1184,22,21,1,0.9545,2211.99,0.45,2,UPI,FOOD_DELIVERY,SMALL,3940.25,0.8648,0.1352,20,4,8
EVT_00000054,RETRY_LATER,True,ALLOWED,0.69515,1,2269.1,CHECKOUT_ABANDONMENT,2026-08-25 11:18:47,CUS_001341,MER_00107,2269.1,INR,UPI,TABLET,AT_RISK,,0,38.5,613,True,False,0,0,0,0.74515,815,43,39,4,0.907,1662.65,0.6892,21,CARD,E_COMMERCE,SMALL,15795.0,0.9309,0.0691,11,1,8
