probability_range,events,predicted_probability,actual_success_rate,absolute_gap
0.0-0.1,570,0.025576800630901942,0.0017543859649122807,0.023822414665989663
0.1-0.2,346,0.15402646249233784,0.10115606936416185,0.052870393128175985
0.2-0.3,565,0.25200377250773665,0.2513274336283186,0.0006763388794180369
0.3-0.4,769,0.3536520070131533,0.3706111833550065,0.016959176341853177
0.4-0.5,838,0.44905578514408057,0.44630071599045346,0.00275506915362711
0.5-0.6,722,0.5502579861824514,0.5512465373961218,0.0009885512136704744
0.6-0.7,653,0.6497293770135343,0.666156202143951,0.01642682513041671
0.7-0.8,442,0.7365308460830293,0.8099547511312217,0.0734239050481924
0.8-0.9,228,0.8758621225311103,0.9035087719298246,0.027646649398714307
0.9-1.0,23,0.904402542945318,0.9565217391304348,0.052119196185116845
