event_id,action,allowed,policy_reason,simulated_success_probability,recovery_success,revenue_recovered,event_type,timestamp,customer_id,merchant_id,amount,currency,payment_method,device_type,payment_status,failure_type,retry_count,previous_attempt_hours,checkout_duration_seconds,payment_page_reached,payment_attempted,subscription_age_days,successful_cycles,failed_cycles,true_recovery_probability,customer_tenure_days,total_transactions,successful_transactions,failed_transactions,historical_success_rate,avg_transaction_amount,previous_recovery_success_rate,days_since_last_success,preferred_payment_method,merchant_category,merchant_size,avg_transaction_amount_merchant,historical_success_rate_merchant,historical_failure_rate,event_hour,day_of_week,month,log_amount,customer_success_rate,customer_avg_transaction_amount,merchant_success_rate,amount_per_customer_transaction,high_value,strong_customer_history,repeated_failure,chosen_action,chosen_probability,expected_value,actual_recovered
EVT_00002432,ALTERNATIVE_PAYMENT,True,ALLOWED,0.546575,0,0.0,PAYMENT_FAILURE,2026-08-21 12:31:51,CUS_001338,MER_00065,25708.46,INR,CARD,MOBILE,FAILED,TIMEOUT,2,63.48,0,False,False,0,0,0,0.516575,465,4,4,0,1.0,13277.06,0.756,21,UPI,DIGITAL_SERVICES,MEDIUM,5883.79,0.7053,0.2947,12,4,8,10.154614296538774,1.0,13277.06,0.7053,6427.115,1,1,1,HUMAN_ESCALATION,0.5330790516670849,13704.641476621186,25708.46
EVT_00002150,ALTERNATIVE_PAYMENT,True,ALLOWED,0.573822,1,52028.64,PAYMENT_FAILURE,2026-08-08 15:28:49,CUS_001472,MER_00069,52028.64,INR,UPI,DESKTOP,FAILED,TIMEOUT,2,63.01,0,False,False,0,0,0,0.543822,1056,59,52,7,0.8814,12224.73,0.3087,29,UPI,E_COMMERCE,SMALL,12615.7,0.7608,0.2392,15,5,8,10.859568835175269,0.8814,12224.73,0.7608,881.8413559322033,1,0,1,HUMAN_ESCALATION,0.559875342231392,29129.55262583389,0.0
EVT_00008004,ALTERNATIVE_PAYMENT,True,ALLOWED,0.818365,1,23286.79,CHECKOUT_ABANDONMENT,2026-08-27 17:28:30,CUS_001716,MER_00067,23286.79,INR,UPI,MOBILE,AT_RISK,,0,15.16,162,True,False,0,0,0,0.788365,1321,23,22,1,0.9565,9519.6,0.6746,26,UPI,TRAVEL,SMALL,6615.57,0.8781,0.1219,17,3,8,10.05568446786505,0.9565,9519.6,0.8781,1012.4691304347826,1,1,0,RECOVERY_REMINDER,0.930510858891318,21668.610963721756,23286.79
EVT_00000867,ALTERNATIVE_PAYMENT,True,ALLOWED,0.564409,0,0.0,SUBSCRIPTION_FAILURE,2026-08-18 01:03:53,CUS_001561,MER_00045,11874.22,INR,UPI,MOBILE,AT_RISK,,0,8.84,0,False,False,344,9,1,0.534409,457,6,5,1,0.8333,10719.51,0.8859,34,UPI,FOOD_DELIVERY,MEDIUM,1683.01,0.9677,0.0323,1,1,8,9.382209155047022,0.8333,10719.51,0.9677,1979.0366666666666,1,0,0,RECOVERY_REMINDER,0.47583100476003454,5650.122033341697,11874.22
EVT_00007752,ALTERNATIVE_PAYMENT,True,ALLOWED,0.428208,1,18152.8,PAYMENT_FAILURE,2026-08-08 14:51:43,CUS_000879,MER_00148,18152.8,INR,UPI,DESKTOP,FAILED,ISSUER_DECLINE,1,61.46,0,False,False,0,0,0,0.248208,835,69,52,17,0.7536,14773.61,0.5846,23,CARD,RETAIL,MEDIUM,1547.37,0.9811,0.0189,14,5,8,9.806635184170098,0.7536,14773.61,0.9811,263.0840579710145,1,0,0,RECOVERY_REMINDER,0.5005780225746768,9086.892728193592,0.0
EVT_00001529,ALTERNATIVE_PAYMENT,True,ALLOWED,0.801502,1,14700.02,CHECKOUT_ABANDONMENT,2026-08-08 13:56:23,CUS_000008,MER_00134,14700.02,INR,CARD,MOBILE,AT_RISK,,0,36.48,262,True,False,0,0,0,0.771502,1055,13,12,1,0.9231,10710.78,0.8482,32,WALLET,EDUCATION,SMALL,5486.16,0.9252,0.0748,13,5,8,9.595672158114711,0.9231,10710.78,0.9252,1130.7707692307692,1,1,0,RECOVERY_REMINDER,0.9421634610231768,13849.821720309921,14700.02
EVT_00003093,ALTERNATIVE_PAYMENT,True,ALLOWED,0.653668,1,3468.47,PAYMENT_FAILURE,2026-08-27 18:55:14,CUS_000302,MER_00010,3468.47,INR,UPI,MOBILE,FAILED,EXPIRED_PAYMENT_METHOD,0,30.34,0,False,False,0,0,0,0.473668,1244,12,11,1,0.9167,3628.63,0.7024,57,CARD,DIGITAL_SERVICES,MEDIUM,15078.75,0.9873,0.0127,18,3,8,8.151757123523145,0.9167,3628.63,0.9873,289.03916666666663,0,1,0,ALTERNATIVE_PAYMENT,0.6933225500787075,2404.7684652714943,3468.47
EVT_00005245,ALTERNATIVE_PAYMENT,True,ALLOWED,0.537106,0,0.0,PAYMENT_FAILURE,2026-08-22 20:47:03,CUS_001701,MER_00135,1322.46,INR,CARD,MOBILE,FAILED,BANK_TECHNICAL_ERROR,1,68.56,0,False,False,0,0,0,0.507106,420,13,10,3,0.7692,1529.6,0.3662,62,UPI,FOOD_DELIVERY,SMALL,9749.43,0.833,0.167,20,5,8,7.188004798316593,0.7692,1529.6,0.833,101.72769230769231,0,0,0,ALTERNATIVE_PAYMENT,0.5747488850819873,760.0824105655249,0.0
EVT_00006007,ALTERNATIVE_PAYMENT,True,ALLOWED,0.575925,1,6168.94,CHECKOUT_ABANDONMENT,2026-08-18 01:43:01,CUS_001007,MER_00067,6168.94,INR,UPI,MOBILE,AT_RISK,,0,8.47,718,False,False,0,0,0,0.545925,1279,48,44,4,0.9167,2586.54,0.9356,14,UPI,TRAVEL,SMALL,6615.57,0.8781,0.1219,1,1,8,8.727444392378892,0.9167,2586.54,0.8781,128.51958333333332,0,1,0,RECOVERY_REMINDER,0.7509453686756071,4632.5369226377,6168.94
EVT_00001910,ALTERNATIVE_PAYMENT,True,ALLOWED,0.826318,1,18307.96,CHECKOUT_ABANDONMENT,2026-08-08 13:27:57,CUS_000183,MER_00080,18307.96,INR,UPI,TABLET,AT_RISK,,0,40.51,641,True,False,0,0,0,0.796318,761,48,47,1,0.9792,3845.62,0.7417,3,CARD,EDUCATION,SMALL,3258.46,0.9582,0.0418,13,5,8,9.81514583649232,0.9792,3845.62,0.9582,381.4158333333333,1,1,0,RECOVERY_REMINDER,0.8774450764061139,16064.229361040076,18307.96
