event_id,action,allowed,policy_reason,simulated_success_probability,recovery_success,revenue_recovered,event_type,timestamp,customer_id,merchant_id,amount,currency,payment_method,device_type,payment_status,failure_type,retry_count,previous_attempt_hours,checkout_duration_seconds,payment_page_reached,payment_attempted,subscription_age_days,successful_cycles,failed_cycles,true_recovery_probability,customer_tenure_days,total_transactions,successful_transactions,failed_transactions,historical_success_rate,avg_transaction_amount,previous_recovery_success_rate,days_since_last_success,preferred_payment_method,merchant_category,merchant_size,avg_transaction_amount_merchant,historical_success_rate_merchant,historical_failure_rate,event_hour,day_of_week,month,log_amount,customer_success_rate,customer_avg_transaction_amount,merchant_success_rate,amount_per_customer_transaction,high_value,strong_customer_history,repeated_failure,chosen_action,chosen_probability,expected_value,actual_recovered
EVT_00029648,ALTERNATIVE_PAYMENT,True,ALLOWED,0.393937,0,0.0,PAYMENT_FAILURE,2026-08-20 22:25:47,CUS_000766,MER_00159,2975.72,INR,UPI,MOBILE,FAILED,ISSUER_DECLINE,1,58.65,0,False,False,0,0,0,0.213937,1177,43,34,9,0.7907,1822.67,0.7497,14,CARD,EDUCATION,MEDIUM,1436.79,0.8598,0.1402,22,3,8,7.998577302175184,0.7907,1822.67,0.8598,69.20279069767442,0,0,0,ALTERNATIVE_PAYMENT,0.4872971120868022,1450.059762378939,0.0
EVT_00089875,ALTERNATIVE_PAYMENT,True,ALLOWED,0.660721,1,6927.96,SUBSCRIPTION_FAILURE,2026-08-27 07:02:45,CUS_000803,MER_00179,6927.96,INR,CARD,DESKTOP,AT_RISK,,0,34.75,0,False,False,741,15,0,0.630721,787,79,73,6,0.9241,5951.47,0.5106,89,CARD,DIGITAL_SERVICES,SMALL,4183.78,0.7936,0.2064,7,3,8,8.843465008771926,0.9241,5951.47,0.7936,87.69569620253165,0,1,0,ALTERNATIVE_PAYMENT,0.5484453438086506,3799.607404092579,6927.96
EVT_00056541,ALTERNATIVE_PAYMENT,True,ALLOWED,0.271604,1,8406.64,PAYMENT_FAILURE,2026-08-08 10:20:41,CUS_001519,MER_00022,8406.64,INR,UPI,MOBILE,FAILED,INSUFFICIENT_BALANCE,2,11.49,0,False,False,0,0,0,0.241604,757,54,48,6,0.8889,6051.19,0.6109,62,UPI,DIGITAL_SERVICES,LARGE,2602.03,0.8671,0.1329,10,5,8,9.036896095274773,0.8889,6051.19,0.8671,155.6785185185185,0,0,1,RECOVERY_REMINDER,0.32277646641356683,2713.465553610947,8406.64
EVT_00006755,ALTERNATIVE_PAYMENT,True,ALLOWED,0.453322,0,0.0,PAYMENT_FAILURE,2026-08-17 14:36:47,CUS_001239,MER_00063,1091.88,INR,UPI,MOBILE,FAILED,EXPIRED_PAYMENT_METHOD,2,17.93,0,False,False,0,0,0,0.273322,467,70,64,6,0.9143,2005.62,0.7745,74,UPI,E_COMMERCE,SMALL,3066.57,0.806,0.194,14,0,8,6.996571692579232,0.9143,2005.62,0.806,15.598285714285716,0,1,1,ALTERNATIVE_PAYMENT,0.4336848357779005,473.53179848917404,0.0
EVT_00081067,ALTERNATIVE_PAYMENT,True,ALLOWED,0.423246,1,11058.63,PAYMENT_FAILURE,2026-08-22 13:23:45,CUS_001922,MER_00057,11058.63,INR,WALLET,MOBILE,FAILED,PAYMENT_LIMIT,2,30.34,0,False,False,0,0,0,0.243246,818,49,37,12,0.7551,10724.13,0.6026,88,CARD,E_COMMERCE,MEDIUM,11931.59,0.9085,0.0915,13,5,8,9.311056820628847,0.7551,10724.13,0.9085,225.68632653061223,1,0,1,ALTERNATIVE_PAYMENT,0.43019830546533666,4757.403886768136,11058.63
EVT_00028152,ALTERNATIVE_PAYMENT,True,ALLOWED,0.40414,0,0.0,PAYMENT_FAILURE,2026-08-08 10:25:58,CUS_000526,MER_00122,6785.13,INR,WALLET,DESKTOP,FAILED,TIMEOUT,3,6.59,0,False,False,0,0,0,0.37414,486,26,24,2,0.9231,3239.44,0.8632,42,CARD,TRAVEL,LARGE,1261.74,0.7975,0.2025,10,5,8,8.822636102248804,0.9231,3239.44,0.7975,260.96653846153845,0,1,1,ALTERNATIVE_PAYMENT,0.38557227476086187,2616.1580086481667,0.0
EVT_00003042,ALTERNATIVE_PAYMENT,True,ALLOWED,0.759483,1,2215.19,CHECKOUT_ABANDONMENT,2026-08-27 06:58:36,CUS_001124,MER_00053,2215.19,INR,UPI,MOBILE,AT_RISK,,0,35.73,247,True,False,0,0,0,0.729483,388,49,42,7,0.8571,2513.45,0.8455,83,UPI,E_COMMERCE,SMALL,2869.11,0.924,0.076,6,3,8,7.703544784263907,0.8571,2513.45,0.924,45.20795918367347,0,0,0,RECOVERY_REMINDER,0.9330345946840046,2066.8489037980603,2215.19
EVT_00050067,ALTERNATIVE_PAYMENT,True,ALLOWED,0.667936,0,0.0,CHECKOUT_ABANDONMENT,2026-08-08 10:27:44,CUS_001641,MER_00043,4011.87,INR,UPI,MOBILE,AT_RISK,,0,7.62,67,True,False,0,0,0,0.637936,1090,57,46,11,0.807,2739.39,0.6994,30,CARD,TRAVEL,SMALL,10675.23,0.776,0.224,10,5,8,8.297261975025027,0.807,2739.39,0.776,70.38368421052631,0,0,0,RECOVERY_REMINDER,0.8460019601346124,3394.049883805247,4011.87
EVT_00087586,ALTERNATIVE_PAYMENT,True,ALLOWED,0.369894,0,0.0,SUBSCRIPTION_FAILURE,2026-08-17 14:36:23,CUS_000182,MER_00189,3936.49,INR,WALLET,DESKTOP,AT_RISK,,0,42.04,0,False,False,332,5,1,0.339894,253,19,16,3,0.8421,2792.98,0.7844,4,UPI,E_COMMERCE,LARGE,1688.36,0.8609,0.1391,14,0,8,8.278298743448124,0.8421,2792.98,0.8609,207.1836842105263,0,0,0,ALTERNATIVE_PAYMENT,0.42098344951688854,1657.1971391887364,0.0
EVT_00083888,ALTERNATIVE_PAYMENT,True,ALLOWED,0.38654,1,15279.94,PAYMENT_FAILURE,2026-08-08 10:29:28,CUS_000689,MER_00169,15279.94,INR,UPI,DESKTOP,FAILED,ISSUER_DECLINE,2,23.11,0,False,False,0,0,0,0.20654,684,51,44,7,0.8627,3334.37,0.961,13,CARD,FOOD_DELIVERY,SMALL,4115.41,0.9528,0.0472,10,5,8,9.634361579152944,0.8627,3334.37,0.9528,299.6066666666667,1,0,1,ALTERNATIVE_PAYMENT,0.31234656055665977,4772.636704512128,15279.94
