oracle_action,v2_action,events,regret,avg_regret
ALTERNATIVE_PAYMENT,,7952,43673613.55,5492.154621478873
RECOVERY_REMINDER,,1991,14136052.6,7099.976192867905
HUMAN_ESCALATION,,512,4522988.89,8833.96267578125
RETRY_LATER,,603,4345447.05,7206.379850746268
ALTERNATIVE_PAYMENT,RECOVERY_REMINDER,342,559302.74,1635.3881286549708
RECOVERY_REMINDER,ALTERNATIVE_PAYMENT,123,514293.01,4181.243983739838
RETRY_LATER,ALTERNATIVE_PAYMENT,34,158458.8,4660.55294117647
HUMAN_ESCALATION,ALTERNATIVE_PAYMENT,35,149393.69,4268.391142857143
ALTERNATIVE_PAYMENT,RETRY_LATER,64,135707.52,2120.43
RETRY_LATER,RECOVERY_REMINDER,36,53022.95,1472.8597222222222
RECOVERY_REMINDER,RETRY_LATER,23,51073.020000000004,2220.5660869565218
HUMAN_ESCALATION,RECOVERY_REMINDER,21,3689.100000000016,175.67142857142932
HUMAN_ESCALATION,RETRY_LATER,5,-3612.4299999999985,-722.4859999999996
RETRY_LATER,HUMAN_ESCALATION,1,-22110.05,-22110.05
RECOVERY_REMINDER,HUMAN_ESCALATION,5,-325694.71,-65138.942
ALTERNATIVE_PAYMENT,HUMAN_ESCALATION,6,-498057.08999999997,-83009.515
