event_id,event_type,failure_type,payment_method,retry_count,customer_id,merchant_id,amount,v2_action,oracle_action,oracle_recovered,v2_recovered,regret,correct_action,value_band
EVT_00029648,PAYMENT_FAILURE,ISSUER_DECLINE,UPI,2,CUS_000766,MER_00159,2975.72,,ALTERNATIVE_PAYMENT,2975.72,0.0,2975.72,False,₹2K–₹5K
EVT_00089875,SUBSCRIPTION_FAILURE,,CARD,0,CUS_000803,MER_00179,6927.96,,RETRY_LATER,6927.96,0.0,6927.96,False,₹5K–₹10K
EVT_00056541,PAYMENT_FAILURE,PAYMENT_LIMIT,UPI,0,CUS_001519,MER_00022,8406.64,,ALTERNATIVE_PAYMENT,8406.64,0.0,8406.64,False,₹5K–₹10K
EVT_00006755,PAYMENT_FAILURE,BANK_TECHNICAL_ERROR,UPI,3,CUS_001239,MER_00063,1091.88,RECOVERY_REMINDER,ALTERNATIVE_PAYMENT,0.0,2719.87,-2719.87,False,<=₹2K
EVT_00081067,PAYMENT_FAILURE,INSUFFICIENT_BALANCE,WALLET,2,CUS_001922,MER_00057,11058.63,,RETRY_LATER,11058.63,0.0,11058.63,False,₹10K–₹25K
EVT_00028152,PAYMENT_FAILURE,ISSUER_DECLINE,WALLET,1,CUS_000526,MER_00122,6785.13,,ALTERNATIVE_PAYMENT,0.0,0.0,0.0,False,₹5K–₹10K
EVT_00003042,CHECKOUT_ABANDONMENT,,UPI,0,CUS_001124,MER_00053,2215.19,RECOVERY_REMINDER,ALTERNATIVE_PAYMENT,2215.19,29010.29,-26795.100000000002,False,₹2K–₹5K
EVT_00050067,CHECKOUT_ABANDONMENT,,UPI,0,CUS_001641,MER_00043,4011.87,,RECOVERY_REMINDER,4011.87,0.0,4011.87,False,₹2K–₹5K
EVT_00087586,SUBSCRIPTION_FAILURE,,WALLET,0,CUS_000182,MER_00189,3936.49,,RETRY_LATER,3936.49,0.0,3936.49,False,₹2K–₹5K
EVT_00083888,PAYMENT_FAILURE,ISSUER_DECLINE,UPI,2,CUS_000689,MER_00169,15279.94,,ALTERNATIVE_PAYMENT,15279.94,0.0,15279.94,False,₹10K–₹25K
EVT_00032729,PAYMENT_FAILURE,ISSUER_DECLINE,UPI,2,CUS_001543,MER_00169,42986.67,,ALTERNATIVE_PAYMENT,42986.67,0.0,42986.67,False,>₹25K
