event_id,event_type,failure_type,payment_method,retry_count,amount,customer_id,merchant_id,checkout_duration_seconds,payment_page_reached,payment_attempted,chosen_action,revenue_recovered,success,oracle_action,oracle_recovered,regret,action_match
EVT_00000008,CHECKOUT_ABANDONMENT,,UPI,0,4906.6,CUS_001694,MER_00162,332,True,False,RECOVERY_REMINDER,4906.6,1.0,ALTERNATIVE_PAYMENT,4906.6,0.0,False
EVT_00000011,CHECKOUT_ABANDONMENT,,CARD,0,3232.27,CUS_000319,MER_00071,686,True,False,RECOVERY_REMINDER,3232.27,1.0,RECOVERY_REMINDER,3232.27,0.0,True
EVT_00000022,PAYMENT_FAILURE,NETWORK_ERROR,CARD,0,4815.98,CUS_000527,MER_00047,0,False,False,ALTERNATIVE_PAYMENT,4815.98,1.0,ALTERNATIVE_PAYMENT,4815.98,0.0,True
EVT_00000026,CHECKOUT_ABANDONMENT,,CARD,0,5699.8,CUS_001274,MER_00145,150,True,False,RECOVERY_REMINDER,5699.8,1.0,ALTERNATIVE_PAYMENT,5699.8,0.0,False
EVT_00000027,PAYMENT_FAILURE,BANK_TECHNICAL_ERROR,CARD,0,4235.78,CUS_000785,MER_00022,0,False,False,ALTERNATIVE_PAYMENT,4235.78,1.0,ALTERNATIVE_PAYMENT,4235.78,0.0,True
EVT_00000028,PAYMENT_FAILURE,PAYMENT_LIMIT,UPI,1,5889.06,CUS_000746,MER_00067,0,False,False,ALTERNATIVE_PAYMENT,5889.06,1.0,ALTERNATIVE_PAYMENT,5889.06,0.0,True
EVT_00000036,PAYMENT_FAILURE,BANK_TECHNICAL_ERROR,WALLET,3,1038.63,CUS_000110,MER_00008,0,False,False,ALTERNATIVE_PAYMENT,1038.63,1.0,ALTERNATIVE_PAYMENT,1038.63,0.0,True
EVT_00000041,PAYMENT_FAILURE,INSUFFICIENT_BALANCE,CARD,3,41614.64,CUS_001092,MER_00071,0,False,False,ALTERNATIVE_PAYMENT,0.0,0.0,ALTERNATIVE_PAYMENT,0.0,0.0,True
EVT_00000049,SUBSCRIPTION_FAILURE,,CARD,0,3181.77,CUS_000955,MER_00101,0,False,False,ALTERNATIVE_PAYMENT,0.0,0.0,ALTERNATIVE_PAYMENT,0.0,0.0,True
EVT_00000054,CHECKOUT_ABANDONMENT,,UPI,0,2269.1,CUS_001341,MER_00107,613,True,False,RECOVERY_REMINDER,2269.1,1.0,ALTERNATIVE_PAYMENT,2269.1,0.0,False
EVT_00000055,SUBSCRIPTION_FAILURE,,CARD,0,3842.3,CUS_000404,MER_00107,0,False,False,ALTERNATIVE_PAYMENT,3842.3,1.0,ALTERNATIVE_PAYMENT,3842.3,0.0,True
EVT_00000074,PAYMENT_FAILURE,EXPIRED_PAYMENT_METHOD,UPI,1,2378.28,CUS_001294,MER_00158,0,False,False,ALTERNATIVE_PAYMENT,2378.28,1.0,ALTERNATIVE_PAYMENT,2378.28,0.0,True
EVT_00000082,PAYMENT_FAILURE,PAYMENT_LIMIT,WALLET,3,22272.71,CUS_001253,MER_00133,0,False,False,ALTERNATIVE_PAYMENT,22272.71,1.0,ALTERNATIVE_PAYMENT,22272.71,0.0,True
EVT_00000088,PAYMENT_FAILURE,TIMEOUT,NETBANKING,1,1591.4,CUS_000716,MER_00148,0,False,False,ALTERNATIVE_PAYMENT,1591.4,1.0,ALTERNATIVE_PAYMENT,1591.4,0.0,True
EVT_00000091,PAYMENT_FAILURE,PAYMENT_LIMIT,UPI,1,9947.8,CUS_001550,MER_00017,0,False,False,ALTERNATIVE_PAYMENT,9947.8,1.0,ALTERNATIVE_PAYMENT,9947.8,0.0,True
EVT_00000092,PAYMENT_FAILURE,ISSUER_DECLINE,UPI,0,683.07,CUS_001358,MER_00198,0,False,False,ALTERNATIVE_PAYMENT,683.07,1.0,ALTERNATIVE_PAYMENT,683.07,0.0,True
EVT_00000094,PAYMENT_FAILURE,INSUFFICIENT_BALANCE,CARD,2,1075.61,CUS_001123,MER_00018,0,False,False,ALTERNATIVE_PAYMENT,0.0,0.0,RECOVERY_REMINDER,1075.61,1075.61,False
EVT_00000105,PAYMENT_FAILURE,INSUFFICIENT_BALANCE,UPI,1,17395.38,CUS_001935,MER_00005,0,False,False,ALTERNATIVE_PAYMENT,17395.38,1.0,ALTERNATIVE_PAYMENT,17395.38,0.0,True
EVT_00000123,SUBSCRIPTION_FAILURE,,UPI,0,7414.18,CUS_000083,MER_00100,0,False,False,ALTERNATIVE_PAYMENT,7414.18,1.0,ALTERNATIVE_PAYMENT,7414.18,0.0,True
EVT_00000130,PAYMENT_FAILURE,ISSUER_DECLINE,UPI,2,3059.95,CUS_001989,MER_00147,0,False,False,ALTERNATIVE_PAYMENT,0.0,0.0,RECOVERY_REMINDER,3059.95,3059.95,False
EVT_00000137,PAYMENT_FAILURE,INSUFFICIENT_BALANCE,UPI,2,4792.11,CUS_001707,MER_00159,0,False,False,ALTERNATIVE_PAYMENT,0.0,0.0,HUMAN_ESCALATION,4792.11,4792.11,False
EVT_00000139,SUBSCRIPTION_FAILURE,,NETBANKING,0,7210.91,CUS_001313,MER_00125,0,False,False,ALTERNATIVE_PAYMENT,7210.91,1.0,ALTERNATIVE_PAYMENT,7210.91,0.0,True
EVT_00000157,PAYMENT_FAILURE,BANK_TECHNICAL_ERROR,CARD,1,4082.92,CUS_000250,MER_00083,0,False,False,ALTERNATIVE_PAYMENT,0.0,0.0,RECOVERY_REMINDER,4082.92,4082.92,False
EVT_00000170,CHECKOUT_ABANDONMENT,,UPI,0,3435.59,CUS_001415,MER_00171,406,True,False,RECOVERY_REMINDER,3435.59,1.0,ALTERNATIVE_PAYMENT,3435.59,0.0,False
EVT_00000192,PAYMENT_FAILURE,INSUFFICIENT_BALANCE,UPI,2,9264.34,CUS_001080,MER_00132,0,False,False,ALTERNATIVE_PAYMENT,9264.34,1.0,ALTERNATIVE_PAYMENT,9264.34,0.0,True
EVT_00000215,PAYMENT_FAILURE,PAYMENT_LIMIT,UPI,3,8106.52,CUS_001342,MER_00169,0,False,False,ALTERNATIVE_PAYMENT,8106.52,1.0,ALTERNATIVE_PAYMENT,8106.52,0.0,True
EVT_00000219,CHECKOUT_ABANDONMENT,,CARD,0,19584.46,CUS_000598,MER_00162,587,True,False,RECOVERY_REMINDER,19584.46,1.0,ALTERNATIVE_PAYMENT,19584.46,0.0,False
EVT_00000231,SUBSCRIPTION_FAILURE,,UPI,0,3151.44,CUS_001241,MER_00130,0,False,False,ALTERNATIVE_PAYMENT,0.0,0.0,ALTERNATIVE_PAYMENT,0.0,0.0,True
EVT_00000233,PAYMENT_FAILURE,INSUFFICIENT_BALANCE,UPI,1,7093.28,CUS_000450,MER_00043,0,False,False,ALTERNATIVE_PAYMENT,7093.28,1.0,ALTERNATIVE_PAYMENT,7093.28,0.0,True
EVT_00000235,SUBSCRIPTION_FAILURE,,CARD,0,8408.57,CUS_001069,MER_00128,0,False,False,ALTERNATIVE_PAYMENT,8408.57,1.0,ALTERNATIVE_PAYMENT,8408.57,0.0,True
EVT_00000252,PAYMENT_FAILURE,TIMEOUT,NETBANKING,2,4753.21,CUS_000177,MER_00117,0,False,False,ALTERNATIVE_PAYMENT,0.0,0.0,HUMAN_ESCALATION,4753.21,4753.21,False
EVT_00000254,PAYMENT_FAILURE,ISSUER_DECLINE,CARD,3,1302.17,CUS_000122,MER_00084,0,False,False,ALTERNATIVE_PAYMENT,1302.17,1.0,ALTERNATIVE_PAYMENT,1302.17,0.0,True
EVT_00000260,PAYMENT_FAILURE,TIMEOUT,CARD,0,10690.16,CUS_000018,MER_00186,0,False,False,ALTERNATIVE_PAYMENT,0.0,0.0,RECOVERY_REMINDER,10690.16,10690.16,False
