event_id,action,score,chosen_action
EVT_00006346,ALTERNATIVE_PAYMENT,0.28,ALTERNATIVE_PAYMENT
EVT_00006346,RECOVERY_REMINDER,0.0,ALTERNATIVE_PAYMENT
EVT_00006346,RETRY_LATER,-999999.0,ALTERNATIVE_PAYMENT
EVT_00006346,HUMAN_ESCALATION,0.1,ALTERNATIVE_PAYMENT
EVT_00004698,ALTERNATIVE_PAYMENT,0.2,RETRY_LATER
EVT_00004698,RECOVERY_REMINDER,0.0,RETRY_LATER
EVT_00004698,RETRY_LATER,0.25,RETRY_LATER
EVT_00004698,HUMAN_ESCALATION,-999999.0,RETRY_LATER
EVT_00000380,ALTERNATIVE_PAYMENT,0.28,ALTERNATIVE_PAYMENT
EVT_00000380,RECOVERY_REMINDER,0.0,ALTERNATIVE_PAYMENT
EVT_00000380,RETRY_LATER,0.15,ALTERNATIVE_PAYMENT
EVT_00000380,HUMAN_ESCALATION,0.0,ALTERNATIVE_PAYMENT
EVT_00006176,ALTERNATIVE_PAYMENT,0.2,RETRY_LATER
EVT_00006176,RECOVERY_REMINDER,0.04,RETRY_LATER
EVT_00006176,RETRY_LATER,0.25,RETRY_LATER
EVT_00006176,HUMAN_ESCALATION,0.12,RETRY_LATER
EVT_00007595,ALTERNATIVE_PAYMENT,0.2,RETRY_LATER
EVT_00007595,RECOVERY_REMINDER,0.0,RETRY_LATER
EVT_00007595,RETRY_LATER,0.25,RETRY_LATER
EVT_00007595,HUMAN_ESCALATION,0.0,RETRY_LATER
EVT_00003138,ALTERNATIVE_PAYMENT,0.2,RECOVERY_REMINDER
EVT_00003138,RECOVERY_REMINDER,0.25,RECOVERY_REMINDER
EVT_00003138,RETRY_LATER,-0.1,RECOVERY_REMINDER
EVT_00003138,HUMAN_ESCALATION,0.0,RECOVERY_REMINDER
EVT_00009275,ALTERNATIVE_PAYMENT,0.2,RETRY_LATER
EVT_00009275,RECOVERY_REMINDER,0.0,RETRY_LATER
EVT_00009275,RETRY_LATER,0.25,RETRY_LATER
EVT_00009275,HUMAN_ESCALATION,0.0,RETRY_LATER
EVT_00002270,ALTERNATIVE_PAYMENT,0.0,RECOVERY_REMINDER
EVT_00002270,RECOVERY_REMINDER,0.65,RECOVERY_REMINDER
EVT_00002270,RETRY_LATER,-0.2,RECOVERY_REMINDER
EVT_00002270,HUMAN_ESCALATION,0.0,RECOVERY_REMINDER
EVT_00007510,ALTERNATIVE_PAYMENT,0.5,ALTERNATIVE_PAYMENT
EVT_00007510,RECOVERY_REMINDER,0.04,ALTERNATIVE_PAYMENT
EVT_00007510,RETRY_LATER,0.0,ALTERNATIVE_PAYMENT
EVT_00007510,HUMAN_ESCALATION,0.12,ALTERNATIVE_PAYMENT
EVT_00001915,ALTERNATIVE_PAYMENT,0.2,RETRY_LATER
EVT_00001915,RECOVERY_REMINDER,0.0,RETRY_LATER
EVT_00001915,RETRY_LATER,0.25,RETRY_LATER
EVT_00001915,HUMAN_ESCALATION,-0.2,RETRY_LATER
EVT_00003773,ALTERNATIVE_PAYMENT,0.58,ALTERNATIVE_PAYMENT
EVT_00003773,RECOVERY_REMINDER,0.0,ALTERNATIVE_PAYMENT
EVT_00003773,RETRY_LATER,-999999.0,ALTERNATIVE_PAYMENT
EVT_00003773,HUMAN_ESCALATION,0.0,ALTERNATIVE_PAYMENT
EVT_00005116,ALTERNATIVE_PAYMENT,0.0,RECOVERY_REMINDER
EVT_00005116,RECOVERY_REMINDER,0.75,RECOVERY_REMINDER
EVT_00005116,RETRY_LATER,-0.2,RECOVERY_REMINDER
EVT_00005116,HUMAN_ESCALATION,0.0,RECOVERY_REMINDER
EVT_00000385,ALTERNATIVE_PAYMENT,0.0,RECOVERY_REMINDER
EVT_00000385,RECOVERY_REMINDER,0.6900000000000001,RECOVERY_REMINDER
EVT_00000385,RETRY_LATER,-0.2,RECOVERY_REMINDER
EVT_00000385,HUMAN_ESCALATION,0.12,RECOVERY_REMINDER
EVT_00007250,ALTERNATIVE_PAYMENT,0.2,RETRY_LATER
EVT_00007250,RECOVERY_REMINDER,0.0,RETRY_LATER
EVT_00007250,RETRY_LATER,0.25,RETRY_LATER
EVT_00007250,HUMAN_ESCALATION,0.0,RETRY_LATER
EVT_00005982,ALTERNATIVE_PAYMENT,0.2,RETRY_LATER
EVT_00005982,RECOVERY_REMINDER,0.0,RETRY_LATER
EVT_00005982,RETRY_LATER,0.25,RETRY_LATER
EVT_00005982,HUMAN_ESCALATION,0.0,RETRY_LATER
EVT_00001167,ALTERNATIVE_PAYMENT,0.2,RECOVERY_REMINDER
EVT_00001167,RECOVERY_REMINDER,0.25,RECOVERY_REMINDER
EVT_00001167,RETRY_LATER,-0.1,RECOVERY_REMINDER
EVT_00001167,HUMAN_ESCALATION,0.0,RECOVERY_REMINDER
EVT_00005319,ALTERNATIVE_PAYMENT,0.0,RECOVERY_REMINDER
EVT_00005319,RECOVERY_REMINDER,0.6900000000000001,RECOVERY_REMINDER
EVT_00005319,RETRY_LATER,-0.2,RECOVERY_REMINDER
EVT_00005319,HUMAN_ESCALATION,0.12,RECOVERY_REMINDER
EVT_00007100,ALTERNATIVE_PAYMENT,0.2,RETRY_LATER
EVT_00007100,RECOVERY_REMINDER,0.0,RETRY_LATER
EVT_00007100,RETRY_LATER,0.25,RETRY_LATER
EVT_00007100,HUMAN_ESCALATION,0.0,RETRY_LATER
EVT_00005354,ALTERNATIVE_PAYMENT,0.2,ALTERNATIVE_PAYMENT
EVT_00005354,RECOVERY_REMINDER,0.0,ALTERNATIVE_PAYMENT
EVT_00005354,RETRY_LATER,0.0,ALTERNATIVE_PAYMENT
EVT_00005354,HUMAN_ESCALATION,0.1,ALTERNATIVE_PAYMENT
EVT_00008028,ALTERNATIVE_PAYMENT,0.0,RECOVERY_REMINDER
EVT_00008028,RECOVERY_REMINDER,0.75,RECOVERY_REMINDER
EVT_00008028,RETRY_LATER,-0.2,RECOVERY_REMINDER
EVT_00008028,HUMAN_ESCALATION,0.0,RECOVERY_REMINDER
EVT_00003239,ALTERNATIVE_PAYMENT,0.2,RECOVERY_REMINDER
EVT_00003239,RECOVERY_REMINDER,0.25,RECOVERY_REMINDER
EVT_00003239,RETRY_LATER,-0.1,RECOVERY_REMINDER
EVT_00003239,HUMAN_ESCALATION,0.0,RECOVERY_REMINDER
EVT_00003408,ALTERNATIVE_PAYMENT,0.28,ALTERNATIVE_PAYMENT
EVT_00003408,RECOVERY_REMINDER,0.0,ALTERNATIVE_PAYMENT
EVT_00003408,RETRY_LATER,0.15,ALTERNATIVE_PAYMENT
EVT_00003408,HUMAN_ESCALATION,-0.2,ALTERNATIVE_PAYMENT
EVT_00008617,ALTERNATIVE_PAYMENT,0.2,RETRY_LATER
EVT_00008617,RECOVERY_REMINDER,0.0,RETRY_LATER
EVT_00008617,RETRY_LATER,0.25,RETRY_LATER
EVT_00008617,HUMAN_ESCALATION,0.0,RETRY_LATER
EVT_00002612,ALTERNATIVE_PAYMENT,0.5,ALTERNATIVE_PAYMENT
EVT_00002612,RECOVERY_REMINDER,0.0,ALTERNATIVE_PAYMENT
EVT_00002612,RETRY_LATER,0.0,ALTERNATIVE_PAYMENT
EVT_00002612,HUMAN_ESCALATION,0.0,ALTERNATIVE_PAYMENT
EVT_00006736,ALTERNATIVE_PAYMENT,0.58,ALTERNATIVE_PAYMENT
EVT_00006736,RECOVERY_REMINDER,0.0,ALTERNATIVE_PAYMENT
EVT_00006736,RETRY_LATER,-0.1,ALTERNATIVE_PAYMENT
EVT_00006736,HUMAN_ESCALATION,0.0,ALTERNATIVE_PAYMENT
EVT_00005764,ALTERNATIVE_PAYMENT,0.5,ALTERNATIVE_PAYMENT
EVT_00005764,RECOVERY_REMINDER,0.0,ALTERNATIVE_PAYMENT
EVT_00005764,RETRY_LATER,0.0,ALTERNATIVE_PAYMENT
EVT_00005764,HUMAN_ESCALATION,0.0,ALTERNATIVE_PAYMENT
EVT_00009452,ALTERNATIVE_PAYMENT,0.28,ALTERNATIVE_PAYMENT
EVT_00009452,RECOVERY_REMINDER,0.0,ALTERNATIVE_PAYMENT
EVT_00009452,RETRY_LATER,-999999.0,ALTERNATIVE_PAYMENT
EVT_00009452,HUMAN_ESCALATION,0.1,ALTERNATIVE_PAYMENT
EVT_00007164,ALTERNATIVE_PAYMENT,0.2,ALTERNATIVE_PAYMENT
EVT_00007164,RECOVERY_REMINDER,0.0,ALTERNATIVE_PAYMENT
EVT_00007164,RETRY_LATER,0.0,ALTERNATIVE_PAYMENT
