event_id,timestamp,event_type,amount,chosen_action,policy_revenue,oracle_action,oracle_revenue,regret,action_match
EVT_00006346,2026-08-01 00:05:52,PAYMENT_FAILURE,9184.03,ALTERNATIVE_PAYMENT,9184.03,ALTERNATIVE_PAYMENT,9184.03,0.0,True
EVT_00004698,2026-08-01 00:41:42,PAYMENT_FAILURE,161.36,RETRY_LATER,161.36,ALTERNATIVE_PAYMENT,161.36,0.0,False
EVT_00000380,2026-08-01 01:39:18,PAYMENT_FAILURE,3344.75,ALTERNATIVE_PAYMENT,3344.75,ALTERNATIVE_PAYMENT,3344.75,0.0,True
EVT_00006176,2026-08-01 01:41:42,PAYMENT_FAILURE,22610.07,RETRY_LATER,0.0,ALTERNATIVE_PAYMENT,22610.07,22610.07,False
EVT_00007595,2026-08-01 02:28:41,PAYMENT_FAILURE,3361.7,RETRY_LATER,3361.7,ALTERNATIVE_PAYMENT,3361.7,0.0,False
EVT_00003138,2026-08-01 03:46:53,SUBSCRIPTION_FAILURE,2304.3,RECOVERY_REMINDER,2304.3,ALTERNATIVE_PAYMENT,2304.3,0.0,False
EVT_00009275,2026-08-01 06:01:25,PAYMENT_FAILURE,5457.02,RETRY_LATER,5457.02,RECOVERY_REMINDER,5457.02,0.0,False
EVT_00002270,2026-08-01 06:30:30,CHECKOUT_ABANDONMENT,3499.81,RECOVERY_REMINDER,3499.81,RECOVERY_REMINDER,3499.81,0.0,True
EVT_00007510,2026-08-01 06:40:28,PAYMENT_FAILURE,20214.6,ALTERNATIVE_PAYMENT,0.0,HUMAN_ESCALATION,20214.6,20214.6,False
EVT_00001915,2026-08-01 06:54:49,PAYMENT_FAILURE,718.55,RETRY_LATER,0.0,ALTERNATIVE_PAYMENT,718.55,718.55,False
EVT_00003773,2026-08-01 08:46:14,PAYMENT_FAILURE,2593.78,ALTERNATIVE_PAYMENT,0.0,ALTERNATIVE_PAYMENT,0.0,0.0,True
EVT_00005116,2026-08-01 08:48:55,CHECKOUT_ABANDONMENT,10309.04,RECOVERY_REMINDER,10309.04,ALTERNATIVE_PAYMENT,10309.04,0.0,False
EVT_00000385,2026-08-01 11:27:05,CHECKOUT_ABANDONMENT,29917.74,RECOVERY_REMINDER,29917.74,ALTERNATIVE_PAYMENT,29917.74,0.0,False
EVT_00007250,2026-08-01 11:46:52,PAYMENT_FAILURE,1192.53,RETRY_LATER,1192.53,RECOVERY_REMINDER,1192.53,0.0,False
EVT_00005982,2026-08-01 11:54:07,PAYMENT_FAILURE,4392.74,RETRY_LATER,0.0,HUMAN_ESCALATION,4392.74,4392.74,False
EVT_00001167,2026-08-01 12:09:06,SUBSCRIPTION_FAILURE,2195.06,RECOVERY_REMINDER,0.0,ALTERNATIVE_PAYMENT,0.0,0.0,False
EVT_00005319,2026-08-01 12:21:36,CHECKOUT_ABANDONMENT,20143.37,RECOVERY_REMINDER,20143.37,ALTERNATIVE_PAYMENT,20143.37,0.0,False
EVT_00007100,2026-08-01 13:05:24,PAYMENT_FAILURE,3069.28,RETRY_LATER,0.0,RECOVERY_REMINDER,3069.28,3069.28,False
EVT_00005354,2026-08-01 13:09:28,PAYMENT_FAILURE,2399.7,ALTERNATIVE_PAYMENT,0.0,ALTERNATIVE_PAYMENT,0.0,0.0,True
EVT_00008028,2026-08-01 13:35:57,CHECKOUT_ABANDONMENT,11324.91,RECOVERY_REMINDER,11324.91,ALTERNATIVE_PAYMENT,11324.91,0.0,False
EVT_00003239,2026-08-01 13:38:35,SUBSCRIPTION_FAILURE,2737.7,RECOVERY_REMINDER,2737.7,RECOVERY_REMINDER,2737.7,0.0,True
EVT_00003408,2026-08-01 15:19:35,PAYMENT_FAILURE,733.05,ALTERNATIVE_PAYMENT,733.05,ALTERNATIVE_PAYMENT,733.05,0.0,True
EVT_00008617,2026-08-01 15:56:29,PAYMENT_FAILURE,3956.62,RETRY_LATER,3956.62,RETRY_LATER,3956.62,0.0,True
EVT_00002612,2026-08-01 16:02:28,PAYMENT_FAILURE,6401.98,ALTERNATIVE_PAYMENT,0.0,RETRY_LATER,6401.98,6401.98,False
EVT_00006736,2026-08-01 16:28:59,PAYMENT_FAILURE,3110.08,ALTERNATIVE_PAYMENT,0.0,RECOVERY_REMINDER,3110.08,3110.08,False
EVT_00005764,2026-08-01 18:09:47,PAYMENT_FAILURE,3719.49,ALTERNATIVE_PAYMENT,3719.49,ALTERNATIVE_PAYMENT,3719.49,0.0,True
EVT_00009452,2026-08-01 19:18:35,PAYMENT_FAILURE,4001.57,ALTERNATIVE_PAYMENT,0.0,ALTERNATIVE_PAYMENT,0.0,0.0,True
EVT_00007164,2026-08-01 19:28:07,PAYMENT_FAILURE,439.65,ALTERNATIVE_PAYMENT,0.0,ALTERNATIVE_PAYMENT,0.0,0.0,True
EVT_00000677,2026-08-01 19:48:19,CHECKOUT_ABANDONMENT,6931.08,RECOVERY_REMINDER,6931.08,ALTERNATIVE_PAYMENT,6931.08,0.0,False
EVT_00007690,2026-08-01 21:04:25,PAYMENT_FAILURE,2928.26,ALTERNATIVE_PAYMENT,0.0,ALTERNATIVE_PAYMENT,0.0,0.0,True
EVT_00005706,2026-08-01 21:07:03,PAYMENT_FAILURE,11496.89,ALTERNATIVE_PAYMENT,11496.89,ALTERNATIVE_PAYMENT,11496.89,0.0,True
EVT_00008836,2026-08-01 21:34:46,PAYMENT_FAILURE,10292.55,ALTERNATIVE_PAYMENT,0.0,ALTERNATIVE_PAYMENT,0.0,0.0,True
EVT_00002728,2026-08-01 22:07:02,CHECKOUT_ABANDONMENT,3808.84,RECOVERY_REMINDER,3808.84,ALTERNATIVE_PAYMENT,3808.84,0.0,False
EVT_00005302,2026-08-01 22:19:14,PAYMENT_FAILURE,11704.0,ALTERNATIVE_PAYMENT,0.0,ALTERNATIVE_PAYMENT,0.0,0.0,True
EVT_00006349,2026-08-01 22:42:01,PAYMENT_FAILURE,7619.42,RETRY_LATER,7619.42,ALTERNATIVE_PAYMENT,7619.42,0.0,False
EVT_00009780,2026-08-01 23:30:12,SUBSCRIPTION_FAILURE,3328.72,RECOVERY_REMINDER,3328.72,ALTERNATIVE_PAYMENT,3328.72,0.0,False
EVT_00008008,2026-08-01 23:49:05,CHECKOUT_ABANDONMENT,20060.6,RECOVERY_REMINDER,20060.6,ALTERNATIVE_PAYMENT,20060.6,0.0,False
EVT_00001005,2026-08-02 00:55:48,CHECKOUT_ABANDONMENT,4183.34,RECOVERY_REMINDER,4183.34,ALTERNATIVE_PAYMENT,4183.34,0.0,False
EVT_00007118,2026-08-02 02:17:32,PAYMENT_FAILURE,10538.36,ALTERNATIVE_PAYMENT,0.0,ALTERNATIVE_PAYMENT,0.0,0.0,True
EVT_00003469,2026-08-02 04:05:15,PAYMENT_FAILURE,1774.19,ALTERNATIVE_PAYMENT,0.0,ALTERNATIVE_PAYMENT,0.0,0.0,True
EVT_00003218,2026-08-02 04:11:24,PAYMENT_FAILURE,1349.32,ALTERNATIVE_PAYMENT,1349.32,ALTERNATIVE_PAYMENT,1349.32,0.0,True
EVT_00006180,2026-08-02 04:40:51,PAYMENT_FAILURE,2054.74,ALTERNATIVE_PAYMENT,0.0,RECOVERY_REMINDER,2054.74,2054.74,False
EVT_00004050,2026-08-02 05:44:08,SUBSCRIPTION_FAILURE,21686.8,RECOVERY_REMINDER,21686.8,ALTERNATIVE_PAYMENT,21686.8,0.0,False
EVT_00007684,2026-08-02 06:06:00,PAYMENT_FAILURE,8863.15,ALTERNATIVE_PAYMENT,0.0,ALTERNATIVE_PAYMENT,0.0,0.0,True
EVT_00008653,2026-08-02 06:47:05,PAYMENT_FAILURE,602.75,ALTERNATIVE_PAYMENT,0.0,RECOVERY_REMINDER,602.75,602.75,False
EVT_00008119,2026-08-02 07:31:08,SUBSCRIPTION_FAILURE,5941.04,RECOVERY_REMINDER,0.0,RETRY_LATER,5941.04,5941.04,False
EVT_00007090,2026-08-02 09:17:12,CHECKOUT_ABANDONMENT,1943.89,RECOVERY_REMINDER,1943.89,ALTERNATIVE_PAYMENT,1943.89,0.0,False
EVT_00004081,2026-08-02 10:19:09,SUBSCRIPTION_FAILURE,790.48,RECOVERY_REMINDER,0.0,ALTERNATIVE_PAYMENT,0.0,0.0,False
EVT_00004666,2026-08-02 10:25:40,SUBSCRIPTION_FAILURE,4170.83,RECOVERY_REMINDER,4170.83,RECOVERY_REMINDER,4170.83,0.0,True
EVT_00002396,2026-08-02 10:53:46,SUBSCRIPTION_FAILURE,8670.58,RECOVERY_REMINDER,0.0,ALTERNATIVE_PAYMENT,8670.58,8670.58,False
EVT_00009261,2026-08-02 11:48:19,PAYMENT_FAILURE,4902.07,ALTERNATIVE_PAYMENT,4902.07,ALTERNATIVE_PAYMENT,4902.07,0.0,True
EVT_00000780,2026-08-02 11:50:25,SUBSCRIPTION_FAILURE,3756.14,RECOVERY_REMINDER,3756.14,RECOVERY_REMINDER,3756.14,0.0,True
EVT_00005348,2026-08-02 13:21:59,PAYMENT_FAILURE,16776.06,ALTERNATIVE_PAYMENT,0.0,ALTERNATIVE_PAYMENT,0.0,0.0,True
EVT_00000611,2026-08-02 13:24:05,PAYMENT_FAILURE,9815.59,ALTERNATIVE_PAYMENT,9815.59,ALTERNATIVE_PAYMENT,9815.59,0.0,True
EVT_00009728,2026-08-02 13:59:14,PAYMENT_FAILURE,10146.65,RETRY_LATER,10146.65,ALTERNATIVE_PAYMENT,10146.65,0.0,False
EVT_00009734,2026-08-02 14:15:22,PAYMENT_FAILURE,3591.07,ALTERNATIVE_PAYMENT,0.0,ALTERNATIVE_PAYMENT,0.0,0.0,True
EVT_00003112,2026-08-02 16:48:19,PAYMENT_FAILURE,70703.08,ALTERNATIVE_PAYMENT,0.0,HUMAN_ESCALATION,70703.08,70703.08,False
EVT_00006564,2026-08-02 16:52:53,CHECKOUT_ABANDONMENT,16202.87,RECOVERY_REMINDER,16202.87,ALTERNATIVE_PAYMENT,16202.87,0.0,False
EVT_00009492,2026-08-02 17:26:17,PAYMENT_FAILURE,4752.7,ALTERNATIVE_PAYMENT,0.0,RECOVERY_REMINDER,4752.7,4752.7,False
EVT_00007334,2026-08-02 17:44:16,CHECKOUT_ABANDONMENT,6699.6,RECOVERY_REMINDER,6699.6,ALTERNATIVE_PAYMENT,6699.6,0.0,False
