event_id,chosen_action,action,recovery_success,revenue_recovered,event_type,failure_type,amount,retry_count,oracle_action,oracle_success,oracle_revenue,correct_action,regret
EVT_00006346,ALTERNATIVE_PAYMENT,ALTERNATIVE_PAYMENT,1,9184.03,PAYMENT_FAILURE,ISSUER_DECLINE,9184.03,3,ALTERNATIVE_PAYMENT,1,9184.03,True,0.0
EVT_00004698,ALTERNATIVE_PAYMENT,ALTERNATIVE_PAYMENT,1,161.36,PAYMENT_FAILURE,NETWORK_ERROR,161.36,0,RETRY_LATER,1,161.36,False,0.0
EVT_00000380,ALTERNATIVE_PAYMENT,ALTERNATIVE_PAYMENT,1,3344.75,PAYMENT_FAILURE,BANK_TECHNICAL_ERROR,3344.75,2,ALTERNATIVE_PAYMENT,1,3344.75,True,0.0
EVT_00006176,ALTERNATIVE_PAYMENT,ALTERNATIVE_PAYMENT,1,22610.07,PAYMENT_FAILURE,TIMEOUT,22610.07,1,ALTERNATIVE_PAYMENT,1,22610.07,True,0.0
EVT_00007595,ALTERNATIVE_PAYMENT,ALTERNATIVE_PAYMENT,1,3361.7,PAYMENT_FAILURE,TIMEOUT,3361.7,0,RETRY_LATER,1,3361.7,False,0.0
EVT_00003138,ALTERNATIVE_PAYMENT,ALTERNATIVE_PAYMENT,1,2304.3,SUBSCRIPTION_FAILURE,,2304.3,0,ALTERNATIVE_PAYMENT,1,2304.3,True,0.0
EVT_00009275,RECOVERY_REMINDER,RECOVERY_REMINDER,1,5457.02,PAYMENT_FAILURE,TIMEOUT,5457.02,1,RETRY_LATER,1,5457.02,False,0.0
EVT_00002270,RECOVERY_REMINDER,RECOVERY_REMINDER,1,3499.81,CHECKOUT_ABANDONMENT,,3499.81,0,RETRY_LATER,1,3499.81,False,0.0
EVT_00007510,ALTERNATIVE_PAYMENT,ALTERNATIVE_PAYMENT,0,0.0,PAYMENT_FAILURE,PAYMENT_LIMIT,20214.6,1,HUMAN_ESCALATION,1,20214.6,False,20214.6
EVT_00001915,ALTERNATIVE_PAYMENT,ALTERNATIVE_PAYMENT,1,718.55,PAYMENT_FAILURE,TIMEOUT,718.55,1,ALTERNATIVE_PAYMENT,1,718.55,True,0.0
EVT_00003773,ALTERNATIVE_PAYMENT,ALTERNATIVE_PAYMENT,0,0.0,PAYMENT_FAILURE,INSUFFICIENT_BALANCE,2593.78,3,RETRY_LATER,0,0.0,False,0.0
EVT_00005116,RECOVERY_REMINDER,RECOVERY_REMINDER,1,10309.04,CHECKOUT_ABANDONMENT,,10309.04,0,RETRY_LATER,1,10309.04,False,0.0
EVT_00000385,RECOVERY_REMINDER,RECOVERY_REMINDER,1,29917.74,CHECKOUT_ABANDONMENT,,29917.74,0,ALTERNATIVE_PAYMENT,1,29917.74,False,0.0
EVT_00007250,ALTERNATIVE_PAYMENT,ALTERNATIVE_PAYMENT,0,0.0,PAYMENT_FAILURE,NETWORK_ERROR,1192.53,0,RETRY_LATER,1,1192.53,False,1192.53
EVT_00005982,ALTERNATIVE_PAYMENT,ALTERNATIVE_PAYMENT,0,0.0,PAYMENT_FAILURE,BANK_TECHNICAL_ERROR,4392.74,1,HUMAN_ESCALATION,1,4392.74,False,4392.74
EVT_00001167,RECOVERY_REMINDER,RECOVERY_REMINDER,0,0.0,SUBSCRIPTION_FAILURE,,2195.06,0,RETRY_LATER,0,0.0,False,0.0
EVT_00005319,RECOVERY_REMINDER,RECOVERY_REMINDER,1,20143.37,CHECKOUT_ABANDONMENT,,20143.37,0,ALTERNATIVE_PAYMENT,1,20143.37,False,0.0
EVT_00007100,ALTERNATIVE_PAYMENT,ALTERNATIVE_PAYMENT,0,0.0,PAYMENT_FAILURE,NETWORK_ERROR,3069.28,0,RECOVERY_REMINDER,1,3069.28,False,3069.28
EVT_00005354,ALTERNATIVE_PAYMENT,ALTERNATIVE_PAYMENT,0,0.0,PAYMENT_FAILURE,ISSUER_DECLINE,2399.7,1,RETRY_LATER,0,0.0,False,0.0
EVT_00008028,RECOVERY_REMINDER,RECOVERY_REMINDER,1,11324.91,CHECKOUT_ABANDONMENT,,11324.91,0,ALTERNATIVE_PAYMENT,1,11324.91,False,0.0
EVT_00003239,RECOVERY_REMINDER,RECOVERY_REMINDER,1,2737.7,SUBSCRIPTION_FAILURE,,2737.7,0,RECOVERY_REMINDER,1,2737.7,True,0.0
EVT_00003408,ALTERNATIVE_PAYMENT,ALTERNATIVE_PAYMENT,1,733.05,PAYMENT_FAILURE,NETWORK_ERROR,733.05,2,RETRY_LATER,1,733.05,False,0.0
EVT_00008617,ALTERNATIVE_PAYMENT,ALTERNATIVE_PAYMENT,0,0.0,PAYMENT_FAILURE,TIMEOUT,3956.62,0,RETRY_LATER,1,3956.62,False,3956.62
EVT_00002612,ALTERNATIVE_PAYMENT,ALTERNATIVE_PAYMENT,0,0.0,PAYMENT_FAILURE,INSUFFICIENT_BALANCE,6401.98,0,RETRY_LATER,1,6401.98,False,6401.98
EVT_00006736,RECOVERY_REMINDER,RECOVERY_REMINDER,1,3110.08,PAYMENT_FAILURE,INSUFFICIENT_BALANCE,3110.08,2,RECOVERY_REMINDER,1,3110.08,True,0.0
EVT_00005764,ALTERNATIVE_PAYMENT,ALTERNATIVE_PAYMENT,1,3719.49,PAYMENT_FAILURE,PAYMENT_LIMIT,3719.49,0,ALTERNATIVE_PAYMENT,1,3719.49,True,0.0
EVT_00009452,ALTERNATIVE_PAYMENT,ALTERNATIVE_PAYMENT,0,0.0,PAYMENT_FAILURE,ISSUER_DECLINE,4001.57,3,RETRY_LATER,0,0.0,False,0.0
EVT_00007164,ALTERNATIVE_PAYMENT,ALTERNATIVE_PAYMENT,0,0.0,PAYMENT_FAILURE,ISSUER_DECLINE,439.65,1,RETRY_LATER,0,0.0,False,0.0
EVT_00000677,RECOVERY_REMINDER,RECOVERY_REMINDER,1,6931.08,CHECKOUT_ABANDONMENT,,6931.08,0,RETRY_LATER,1,6931.08,False,0.0
EVT_00007690,ALTERNATIVE_PAYMENT,ALTERNATIVE_PAYMENT,0,0.0,PAYMENT_FAILURE,TIMEOUT,2928.26,3,RETRY_LATER,0,0.0,False,0.0
EVT_00005706,ALTERNATIVE_PAYMENT,ALTERNATIVE_PAYMENT,1,11496.89,PAYMENT_FAILURE,EXPIRED_PAYMENT_METHOD,11496.89,0,ALTERNATIVE_PAYMENT,1,11496.89,True,0.0
EVT_00008836,ALTERNATIVE_PAYMENT,ALTERNATIVE_PAYMENT,0,0.0,PAYMENT_FAILURE,PAYMENT_LIMIT,10292.55,3,RETRY_LATER,0,0.0,False,0.0
EVT_00002728,RECOVERY_REMINDER,RECOVERY_REMINDER,1,3808.84,CHECKOUT_ABANDONMENT,,3808.84,0,ALTERNATIVE_PAYMENT,1,3808.84,False,0.0
EVT_00005302,ALTERNATIVE_PAYMENT,ALTERNATIVE_PAYMENT,0,0.0,PAYMENT_FAILURE,TIMEOUT,11704.0,2,RETRY_LATER,0,0.0,False,0.0
EVT_00006349,ALTERNATIVE_PAYMENT,ALTERNATIVE_PAYMENT,1,7619.42,PAYMENT_FAILURE,NETWORK_ERROR,7619.42,0,RETRY_LATER,1,7619.42,False,0.0
EVT_00009780,RECOVERY_REMINDER,RECOVERY_REMINDER,1,3328.72,SUBSCRIPTION_FAILURE,,3328.72,0,RETRY_LATER,1,3328.72,False,0.0
EVT_00008008,RECOVERY_REMINDER,RECOVERY_REMINDER,1,20060.6,CHECKOUT_ABANDONMENT,,20060.6,0,RETRY_LATER,1,20060.6,False,0.0
EVT_00001005,RECOVERY_REMINDER,RECOVERY_REMINDER,1,4183.34,CHECKOUT_ABANDONMENT,,4183.34,0,ALTERNATIVE_PAYMENT,1,4183.34,False,0.0
EVT_00007118,ALTERNATIVE_PAYMENT,ALTERNATIVE_PAYMENT,0,0.0,PAYMENT_FAILURE,ISSUER_DECLINE,10538.36,2,RETRY_LATER,0,0.0,False,0.0
EVT_00003469,ALTERNATIVE_PAYMENT,ALTERNATIVE_PAYMENT,0,0.0,PAYMENT_FAILURE,PAYMENT_LIMIT,1774.19,3,RETRY_LATER,0,0.0,False,0.0
EVT_00003218,ALTERNATIVE_PAYMENT,ALTERNATIVE_PAYMENT,1,1349.32,PAYMENT_FAILURE,BANK_TECHNICAL_ERROR,1349.32,2,ALTERNATIVE_PAYMENT,1,1349.32,True,0.0
EVT_00006180,RECOVERY_REMINDER,RECOVERY_REMINDER,1,2054.74,PAYMENT_FAILURE,INSUFFICIENT_BALANCE,2054.74,2,RECOVERY_REMINDER,1,2054.74,True,0.0
EVT_00004050,RECOVERY_REMINDER,RECOVERY_REMINDER,1,21686.8,SUBSCRIPTION_FAILURE,,21686.8,0,RETRY_LATER,1,21686.8,False,0.0
EVT_00007684,ALTERNATIVE_PAYMENT,ALTERNATIVE_PAYMENT,0,0.0,PAYMENT_FAILURE,PAYMENT_LIMIT,8863.15,0,RETRY_LATER,0,0.0,False,0.0
EVT_00008653,ALTERNATIVE_PAYMENT,ALTERNATIVE_PAYMENT,0,0.0,PAYMENT_FAILURE,TIMEOUT,602.75,2,RETRY_LATER,1,602.75,False,602.75
EVT_00008119,ALTERNATIVE_PAYMENT,ALTERNATIVE_PAYMENT,0,0.0,SUBSCRIPTION_FAILURE,,5941.04,0,RETRY_LATER,1,5941.04,False,5941.04
EVT_00007090,RECOVERY_REMINDER,RECOVERY_REMINDER,1,1943.89,CHECKOUT_ABANDONMENT,,1943.89,0,RETRY_LATER,1,1943.89,False,0.0
EVT_00004081,RECOVERY_REMINDER,RECOVERY_REMINDER,0,0.0,SUBSCRIPTION_FAILURE,,790.48,0,RETRY_LATER,0,0.0,False,0.0
EVT_00004666,ALTERNATIVE_PAYMENT,ALTERNATIVE_PAYMENT,0,0.0,SUBSCRIPTION_FAILURE,,4170.83,0,RECOVERY_REMINDER,1,4170.83,False,4170.83
EVT_00002396,RECOVERY_REMINDER,RECOVERY_REMINDER,0,0.0,SUBSCRIPTION_FAILURE,,8670.58,0,RETRY_LATER,1,8670.58,False,8670.58
EVT_00009261,ALTERNATIVE_PAYMENT,ALTERNATIVE_PAYMENT,1,4902.07,PAYMENT_FAILURE,ISSUER_DECLINE,4902.07,1,ALTERNATIVE_PAYMENT,1,4902.07,True,0.0
EVT_00000780,ALTERNATIVE_PAYMENT,ALTERNATIVE_PAYMENT,0,0.0,SUBSCRIPTION_FAILURE,,3756.14,0,RETRY_LATER,1,3756.14,False,3756.14
EVT_00005348,ALTERNATIVE_PAYMENT,ALTERNATIVE_PAYMENT,0,0.0,PAYMENT_FAILURE,ISSUER_DECLINE,16776.06,2,RETRY_LATER,0,0.0,False,0.0
EVT_00000611,ALTERNATIVE_PAYMENT,ALTERNATIVE_PAYMENT,1,9815.59,PAYMENT_FAILURE,PAYMENT_LIMIT,9815.59,2,ALTERNATIVE_PAYMENT,1,9815.59,True,0.0
EVT_00009728,ALTERNATIVE_PAYMENT,ALTERNATIVE_PAYMENT,1,10146.65,PAYMENT_FAILURE,BANK_TECHNICAL_ERROR,10146.65,0,RETRY_LATER,1,10146.65,False,0.0
EVT_00009734,ALTERNATIVE_PAYMENT,ALTERNATIVE_PAYMENT,0,0.0,PAYMENT_FAILURE,EXPIRED_PAYMENT_METHOD,3591.07,3,RETRY_LATER,0,0.0,False,0.0
EVT_00003112,HUMAN_ESCALATION,HUMAN_ESCALATION,1,70703.08,PAYMENT_FAILURE,INSUFFICIENT_BALANCE,70703.08,3,HUMAN_ESCALATION,1,70703.08,True,0.0
EVT_00006564,RECOVERY_REMINDER,RECOVERY_REMINDER,1,16202.87,CHECKOUT_ABANDONMENT,,16202.87,0,ALTERNATIVE_PAYMENT,1,16202.87,False,0.0
EVT_00009492,ALTERNATIVE_PAYMENT,ALTERNATIVE_PAYMENT,0,0.0,PAYMENT_FAILURE,EXPIRED_PAYMENT_METHOD,4752.7,0,RECOVERY_REMINDER,1,4752.7,False,4752.7
EVT_00007334,RECOVERY_REMINDER,RECOVERY_REMINDER,1,6699.6,CHECKOUT_ABANDONMENT,,6699.6,0,RETRY_LATER,1,6699.6,False,0.0
EVT_00009273,ALTERNATIVE_PAYMENT,ALTERNATIVE_PAYMENT,1,7505.27,SUBSCRIPTION_FAILURE,,7505.27,0,RETRY_LATER,1,7505.27,False,0.0
EVT_00008221,RECOVERY_REMINDER,RECOVERY_REMINDER,0,0.0,PAYMENT_FAILURE,INSUFFICIENT_BALANCE,14208.92,1,RETRY_LATER,0,0.0,False,0.0
EVT_00003815,RECOVERY_REMINDER,RECOVERY_REMINDER,0,0.0,CHECKOUT_ABANDONMENT,,965.45,0,ALTERNATIVE_PAYMENT,1,965.45,False,965.45
EVT_00009258,ALTERNATIVE_PAYMENT,ALTERNATIVE_PAYMENT,1,2457.45,PAYMENT_FAILURE,NETWORK_ERROR,2457.45,0,RETRY_LATER,1,2457.45,False,0.0
EVT_00006760,ALTERNATIVE_PAYMENT,ALTERNATIVE_PAYMENT,0,0.0,PAYMENT_FAILURE,NETWORK_ERROR,1321.23,1,RETRY_LATER,1,1321.23,False,1321.23
EVT_00003124,ALTERNATIVE_PAYMENT,ALTERNATIVE_PAYMENT,0,0.0,PAYMENT_FAILURE,ISSUER_DECLINE,1339.47,2,RETRY_LATER,0,0.0,False,0.0
