customer_id,customer_tenure_days,total_transactions,successful_transactions,failed_transactions,historical_success_rate,avg_transaction_amount,previous_recovery_success_rate,days_since_last_success,preferred_payment_method
CUS_000001,161,70,66,4,0.9429,4196.46,0.5433,23,UPI
CUS_000002,1167,5,5,0,1.0,3711.78,0.7035,73,UPI
CUS_000003,992,32,27,5,0.8438,6836.35,0.7644,59,CARD
CUS_000004,675,37,30,7,0.8108,3665.68,0.9436,42,CARD
CUS_000005,666,64,46,18,0.7188,3428.39,0.9317,71,WALLET
CUS_000006,1292,11,10,1,0.9091,10316.92,0.6482,6,NETBANKING
CUS_000007,156,35,33,2,0.9429,12328.33,0.6416,61,CARD
CUS_000008,1055,13,12,1,0.9231,10710.78,0.8482,32,WALLET
CUS_000009,326,63,61,2,0.9683,3933.36,0.8577,34,CARD
CUS_000010,168,50,41,9,0.82,812.41,0.8851,14,UPI
CUS_000011,803,40,36,4,0.9,3996.87,0.9257,8,UPI
CUS_000012,1464,32,31,1,0.9688,2453.94,0.6682,62,NETBANKING
CUS_000013,1111,13,10,3,0.7692,4056.41,0.6597,76,UPI
CUS_000014,1148,73,58,15,0.7945,2630.58,0.9443,82,WALLET
CUS_000015,1084,52,48,4,0.9231,4425.95,0.6164,21,UPI
CUS_000016,1185,26,24,2,0.9231,1959.44,0.7078,68,UPI
CUS_000017,784,33,31,2,0.9394,1615.27,0.9278,10,CARD
CUS_000018,218,58,56,2,0.9655,11967.93,0.7062,70,NETBANKING
CUS_000019,1264,57,48,9,0.8421,2071.66,0.7007,50,NETBANKING
CUS_000020,692,37,34,3,0.9189,4501.19,0.6754,77,UPI
CUS_000021,765,24,20,4,0.8333,9657.06,0.7754,6,UPI
CUS_000022,575,53,45,8,0.8491,9351.35,0.757,69,CARD
CUS_000023,298,53,50,3,0.9434,8499.06,0.5041,42,NETBANKING
CUS_000024,1392,48,46,2,0.9583,5733.75,0.7514,51,UPI
CUS_000025,1178,6,3,3,0.5,8030.77,0.761,48,CARD
CUS_000026,976,38,35,3,0.9211,13498.09,0.6197,64,UPI
CUS_000027,621,49,47,2,0.9592,6322.38,0.878,53,CARD
CUS_000028,1239,76,70,6,0.9211,1034.91,0.9869,37,UPI
CUS_000029,831,42,37,5,0.881,2948.37,0.7486,39,WALLET
CUS_000030,681,28,28,0,1.0,7855.18,0.9054,6,UPI
CUS_000031,692,44,39,5,0.8864,2724.82,0.6392,65,CARD
CUS_000032,364,15,11,4,0.7333,16447.32,0.9204,63,CARD
CUS_000033,165,8,6,2,0.75,4278.21,0.8098,51,UPI
CUS_000034,845,54,50,4,0.9259,4817.6,0.8241,64,UPI
CUS_000035,1335,78,69,9,0.8846,11065.95,0.663,24,CARD
CUS_000036,123,67,55,12,0.8209,3887.62,0.6693,20,CARD
CUS_000037,1291,47,44,3,0.9362,5181.52,0.4368,83,CARD
CUS_000038,1246,4,3,1,0.75,9238.47,0.6959,85,CARD
CUS_000039,436,79,66,13,0.8354,1385.78,0.7168,76,UPI
CUS_000040,958,36,32,4,0.8889,3581.7,0.7305,4,WALLET
CUS_000041,272,23,20,3,0.8696,8735.54,0.7688,49,UPI
CUS_000042,1144,71,67,4,0.9437,4742.47,0.7342,66,CARD
CUS_000043,1059,59,40,19,0.678,14555.14,0.7757,3,WALLET
CUS_000044,551,60,54,6,0.9,1275.5,0.5543,87,NETBANKING
CUS_000045,129,22,21,1,0.9545,1164.25,0.4564,70,UPI
CUS_000046,1456,79,69,10,0.8734,8329.69,0.6572,27,UPI
CUS_000047,685,36,22,14,0.6111,8995.49,0.5173,45,CARD
CUS_000048,1342,42,39,3,0.9286,3855.41,0.7443,82,UPI
CUS_000049,1026,60,53,7,0.8833,6199.03,0.8999,76,CARD
CUS_000050,1174,53,45,8,0.8491,8168.15,0.7798,74,CARD
CUS_000051,1147,14,12,2,0.8571,2346.65,0.7858,88,UPI
CUS_000052,316,24,18,6,0.75,2556.4,0.7699,66,UPI
CUS_000053,564,29,27,2,0.931,5237.57,0.7282,84,CARD
CUS_000054,716,75,67,8,0.8933,9275.24,0.9072,85,CARD
CUS_000055,761,57,49,8,0.8596,1770.59,0.9461,1,UPI
CUS_000056,94,29,21,8,0.7241,3840.95,0.6111,58,UPI
CUS_000057,833,59,57,2,0.9661,3701.31,0.8473,30,UPI
CUS_000058,256,59,41,18,0.6949,6286.75,0.6576,44,CARD
CUS_000059,1122,32,31,1,0.9688,4468.79,0.7828,15,CARD
CUS_000060,1034,32,29,3,0.9062,2907.72,0.5503,60,NETBANKING
CUS_000061,1386,71,66,5,0.9296,12218.24,0.309,75,WALLET
CUS_000062,1124,45,36,9,0.8,2923.18,0.8552,37,CARD
CUS_000063,568,12,10,2,0.8333,3562.28,0.6532,62,NETBANKING
CUS_000064,1452,57,46,11,0.807,1259.71,0.6977,29,UPI
CUS_000065,633,47,41,6,0.8723,2542.57,0.4409,67,CARD
CUS_000066,508,41,35,6,0.8537,6800.11,0.9523,7,CARD
CUS_000067,1361,58,56,2,0.9655,5815.69,0.8155,79,CARD
CUS_000068,574,72,50,22,0.6944,7269.53,0.9071,34,CARD
CUS_000069,142,27,26,1,0.963,6992.68,0.6641,45,UPI
CUS_000070,720,34,29,5,0.8529,23908.85,0.5898,72,NETBANKING
CUS_000071,1199,15,11,4,0.7333,2473.89,0.4443,2,NETBANKING
CUS_000072,308,52,41,11,0.7885,1231.88,0.891,85,WALLET
CUS_000073,710,32,27,5,0.8438,1941.84,0.5828,55,CARD
CUS_000074,220,28,22,6,0.7857,2562.94,0.6765,87,WALLET
CUS_000075,1039,56,50,6,0.8929,2063.94,0.6972,49,CARD
CUS_000076,729,33,33,0,1.0,4850.13,0.6689,18,CARD
CUS_000077,515,37,32,5,0.8649,12258.28,0.6231,52,UPI
CUS_000078,363,35,31,4,0.8857,15422.15,0.6772,51,NETBANKING
CUS_000079,859,21,19,2,0.9048,6736.39,0.8746,82,CARD
CUS_000080,1014,10,9,1,0.9,24955.52,0.8229,51,CARD
CUS_000081,1412,66,56,10,0.8485,3383.73,0.8117,36,WALLET
CUS_000082,672,8,7,1,0.875,1219.04,0.183,15,UPI
CUS_000083,266,26,23,3,0.8846,10450.19,0.7998,29,CARD
CUS_000084,1254,53,44,9,0.8302,1033.76,0.3718,52,UPI
CUS_000085,955,11,11,0,1.0,2459.79,0.4624,33,CARD
CUS_000086,1059,52,44,8,0.8462,6822.1,0.6468,32,UPI
CUS_000087,172,58,49,9,0.8448,4146.12,0.7326,1,UPI
CUS_000088,489,53,43,10,0.8113,3862.5,0.8545,84,UPI
CUS_000089,1158,25,23,2,0.92,1749.7,0.7658,75,UPI
CUS_000090,1253,2,2,0,1.0,4461.28,0.6452,22,UPI
