event_id,event_type,timestamp,customer_id,merchant_id,amount,currency,payment_method,device_type,payment_status,failure_type,retry_count,previous_attempt_hours,checkout_duration_seconds,payment_page_reached,payment_attempted,subscription_age_days,successful_cycles,failed_cycles,true_recovery_probability
EVT_00019401,CHECKOUT_ABANDONMENT,2026-01-01 00:00:43,CUS_001671,MER_00189,46871.3,INR,UPI,MOBILE,AT_RISK,,0,53.66,466,True,False,0,0,0,0.794519
EVT_00023624,PAYMENT_FAILURE,2026-01-01 00:02:03,CUS_001775,MER_00137,17199.52,INR,NETBANKING,MOBILE,FAILED,ISSUER_DECLINE,2,11.9,0,False,False,0,0,0,0.200548
EVT_00094571,SUBSCRIPTION_FAILURE,2026-01-01 00:02:15,CUS_000903,MER_00155,6985.93,INR,CARD,DESKTOP,AT_RISK,,0,55.18,0,False,False,395,11,0,0.636165
EVT_00073250,PAYMENT_FAILURE,2026-01-01 00:03:53,CUS_001352,MER_00081,1590.45,INR,UPI,DESKTOP,FAILED,TIMEOUT,1,11.21,0,False,False,0,0,0,0.542034
EVT_00034692,PAYMENT_FAILURE,2026-01-01 00:05:52,CUS_000068,MER_00088,8183.91,INR,UPI,MOBILE,FAILED,EXPIRED_PAYMENT_METHOD,1,24.72,0,False,False,0,0,0,0.306129
EVT_00090797,PAYMENT_FAILURE,2026-01-01 00:13:10,CUS_000882,MER_00142,1990.2,INR,WALLET,MOBILE,FAILED,INSUFFICIENT_BALANCE,0,16.34,0,False,False,0,0,0,0.38363
EVT_00061316,PAYMENT_FAILURE,2026-01-01 00:15:43,CUS_001531,MER_00065,9403.71,INR,CARD,MOBILE,FAILED,BANK_TECHNICAL_ERROR,3,58.79,0,False,False,0,0,0,0.402473
EVT_00003204,PAYMENT_FAILURE,2026-01-01 00:15:49,CUS_001992,MER_00173,2837.35,INR,UPI,DESKTOP,FAILED,TIMEOUT,3,3.22,0,False,False,0,0,0,0.408112
EVT_00082087,PAYMENT_FAILURE,2026-01-01 00:17:42,CUS_001302,MER_00133,6461.6,INR,UPI,MOBILE,FAILED,TIMEOUT,3,55.19,0,False,False,0,0,0,0.368166
EVT_00050401,PAYMENT_FAILURE,2026-01-01 00:20:24,CUS_001376,MER_00104,4818.41,INR,UPI,DESKTOP,FAILED,INSUFFICIENT_BALANCE,0,4.01,0,False,False,0,0,0,0.353773
EVT_00016992,PAYMENT_FAILURE,2026-01-01 00:21:35,CUS_000608,MER_00022,4251.32,INR,NETBANKING,MOBILE,FAILED,EXPIRED_PAYMENT_METHOD,2,20.66,0,False,False,0,0,0,0.286671
EVT_00039137,PAYMENT_FAILURE,2026-01-01 00:26:08,CUS_001830,MER_00101,1407.08,INR,UPI,TABLET,FAILED,INSUFFICIENT_BALANCE,0,56.07,0,False,False,0,0,0,0.413603
EVT_00057661,PAYMENT_FAILURE,2026-01-01 00:32:11,CUS_001929,MER_00023,18873.05,INR,UPI,MOBILE,FAILED,ISSUER_DECLINE,0,36.38,0,False,False,0,0,0,0.238458
EVT_00025192,CHECKOUT_ABANDONMENT,2026-01-01 00:34:01,CUS_001272,MER_00028,4336.14,INR,UPI,DESKTOP,AT_RISK,,0,19.36,527,True,False,0,0,0,0.758331
EVT_00069215,PAYMENT_FAILURE,2026-01-01 00:35:43,CUS_001224,MER_00026,976.69,INR,CARD,MOBILE,FAILED,ISSUER_DECLINE,2,62.04,0,False,False,0,0,0,0.181404
EVT_00038065,CHECKOUT_ABANDONMENT,2026-01-01 00:35:52,CUS_000335,MER_00169,3230.28,INR,UPI,MOBILE,AT_RISK,,0,55.31,279,True,False,0,0,0,0.737873
EVT_00095223,PAYMENT_FAILURE,2026-01-01 00:35:58,CUS_000470,MER_00090,7278.45,INR,NETBANKING,MOBILE,FAILED,INSUFFICIENT_BALANCE,2,41.39,0,False,False,0,0,0,0.263066
EVT_00077293,CHECKOUT_ABANDONMENT,2026-01-01 00:36:05,CUS_001749,MER_00038,20723.1,INR,UPI,MOBILE,AT_RISK,,0,43.22,651,True,False,0,0,0,0.750908
EVT_00095457,CHECKOUT_ABANDONMENT,2026-01-01 00:38:19,CUS_000198,MER_00045,782.5,INR,UPI,DESKTOP,AT_RISK,,0,41.71,639,False,False,0,0,0,0.510045
EVT_00003198,CHECKOUT_ABANDONMENT,2026-01-01 00:39:58,CUS_001239,MER_00182,1564.74,INR,NETBANKING,MOBILE,AT_RISK,,0,28.5,723,True,False,0,0,0,0.754511
EVT_00094518,SUBSCRIPTION_FAILURE,2026-01-01 00:40:57,CUS_000356,MER_00090,4614.76,INR,UPI,MOBILE,AT_RISK,,0,8.24,0,False,False,262,1,1,0.39688
EVT_00092200,PAYMENT_FAILURE,2026-01-01 00:45:05,CUS_001930,MER_00141,6388.0,INR,UPI,DESKTOP,FAILED,INSUFFICIENT_BALANCE,1,38.4,0,False,False,0,0,0,0.257172
EVT_00061276,PAYMENT_FAILURE,2026-01-01 00:47:36,CUS_000186,MER_00093,13199.79,INR,UPI,DESKTOP,FAILED,INSUFFICIENT_BALANCE,1,13.21,0,False,False,0,0,0,0.357495
