merchant_id,merchant_category,merchant_size,avg_transaction_amount,historical_success_rate,historical_failure_rate
MER_00001,FOOD_DELIVERY,SMALL,6229.18,0.9913,0.0087
MER_00002,E_COMMERCE,LARGE,9205.47,0.8725,0.1275
MER_00003,DIGITAL_SERVICES,SMALL,2951.94,0.8109,0.1891
MER_00004,EDUCATION,MEDIUM,2207.0,0.9735,0.0265
MER_00005,EDUCATION,SMALL,832.59,0.9375,0.0625
MER_00006,SAAS,SMALL,11987.91,0.8542,0.1458
MER_00007,EDUCATION,SMALL,5075.52,0.9361,0.0639
MER_00008,DIGITAL_SERVICES,MEDIUM,6017.04,0.8847,0.1153
MER_00009,SAAS,MEDIUM,2469.96,0.8258,0.1742
MER_00010,DIGITAL_SERVICES,MEDIUM,15078.75,0.9873,0.0127
MER_00011,DIGITAL_SERVICES,SMALL,11685.15,0.879,0.121
MER_00012,FOOD_DELIVERY,MEDIUM,4480.78,0.8939,0.1061
MER_00013,TRAVEL,SMALL,3031.81,0.8747,0.1253
MER_00014,FOOD_DELIVERY,SMALL,3627.04,0.8438,0.1562
MER_00015,EDUCATION,SMALL,2436.77,0.8602,0.1398
MER_00016,DIGITAL_SERVICES,MEDIUM,5120.98,0.9357,0.0643
MER_00017,E_COMMERCE,SMALL,2871.65,0.97,0.03
MER_00018,E_COMMERCE,SMALL,8469.12,0.8917,0.1083
MER_00019,FOOD_DELIVERY,MEDIUM,3617.98,0.9102,0.0898
MER_00020,FOOD_DELIVERY,LARGE,3635.97,0.9772,0.0228
MER_00021,E_COMMERCE,LARGE,19944.74,0.8545,0.1455
MER_00022,DIGITAL_SERVICES,LARGE,2602.03,0.8671,0.1329
MER_00023,DIGITAL_SERVICES,SMALL,1219.34,0.8554,0.1446
MER_00024,DIGITAL_SERVICES,SMALL,6952.02,0.952,0.048
MER_00025,DIGITAL_SERVICES,MEDIUM,770.56,0.9566,0.0434
MER_00026,SAAS,LARGE,6343.17,0.7939,0.2061
MER_00027,DIGITAL_SERVICES,SMALL,12097.35,0.8025,0.1975
MER_00028,RETAIL,SMALL,5325.69,0.8758,0.1242
MER_00029,FOOD_DELIVERY,SMALL,5041.91,0.8787,0.1213
MER_00030,TRAVEL,LARGE,789.69,0.9193,0.0807
MER_00031,FOOD_DELIVERY,LARGE,8241.74,0.8635,0.1365
MER_00032,TRAVEL,SMALL,7142.77,0.8186,0.1814
MER_00033,RETAIL,SMALL,1741.31,0.8328,0.1672
MER_00034,FOOD_DELIVERY,MEDIUM,27974.45,0.9356,0.0644
MER_00035,DIGITAL_SERVICES,SMALL,1661.67,0.979,0.021
MER_00036,SAAS,MEDIUM,1103.05,0.7,0.3
MER_00037,E_COMMERCE,SMALL,979.69,0.9742,0.0258
MER_00038,RETAIL,MEDIUM,5118.25,0.8466,0.1534
MER_00039,DIGITAL_SERVICES,SMALL,6776.92,0.7982,0.2018
MER_00040,FOOD_DELIVERY,SMALL,7435.86,0.9306,0.0694
MER_00041,TRAVEL,MEDIUM,3690.69,0.8746,0.1254
MER_00042,E_COMMERCE,SMALL,2406.16,0.9772,0.0228
MER_00043,TRAVEL,SMALL,10675.23,0.776,0.224
MER_00044,TRAVEL,LARGE,2229.13,0.966,0.034
MER_00045,FOOD_DELIVERY,MEDIUM,1683.01,0.9677,0.0323
MER_00046,SAAS,MEDIUM,17647.99,0.9849,0.0151
MER_00047,DIGITAL_SERVICES,SMALL,5866.47,0.813,0.187
MER_00048,EDUCATION,MEDIUM,7641.54,0.8998,0.1002
MER_00049,EDUCATION,SMALL,8781.92,0.8307,0.1693
MER_00050,SAAS,SMALL,2988.65,0.9869,0.0131
MER_00051,EDUCATION,MEDIUM,3095.23,0.7393,0.2607
MER_00052,RETAIL,LARGE,8899.2,0.9756,0.0244
MER_00053,E_COMMERCE,SMALL,2869.11,0.924,0.076
MER_00054,SAAS,SMALL,6765.64,0.896,0.104
MER_00055,DIGITAL_SERVICES,LARGE,4613.21,0.7204,0.2796
MER_00056,SAAS,SMALL,1706.75,0.9351,0.0649
MER_00057,E_COMMERCE,MEDIUM,11931.59,0.9085,0.0915
MER_00058,SAAS,LARGE,1566.76,0.8967,0.1033
MER_00059,DIGITAL_SERVICES,SMALL,6166.34,0.923,0.077
MER_00060,FOOD_DELIVERY,LARGE,5310.7,0.9841,0.0159
MER_00061,TRAVEL,LARGE,15633.06,0.9425,0.0575
MER_00062,SAAS,SMALL,1825.36,0.9707,0.0293
MER_00063,E_COMMERCE,SMALL,3066.57,0.806,0.194
MER_00064,TRAVEL,SMALL,4568.4,0.9534,0.0466
MER_00065,DIGITAL_SERVICES,MEDIUM,5883.79,0.7053,0.2947
MER_00066,FOOD_DELIVERY,SMALL,10924.95,0.9585,0.0415
MER_00067,TRAVEL,SMALL,6615.57,0.8781,0.1219
MER_00068,TRAVEL,MEDIUM,5113.13,0.8393,0.1607
MER_00069,E_COMMERCE,SMALL,12615.7,0.7608,0.2392
MER_00070,DIGITAL_SERVICES,SMALL,32979.79,0.7942,0.2058
MER_00071,TRAVEL,MEDIUM,1476.19,0.8534,0.1466
MER_00072,TRAVEL,MEDIUM,4974.21,0.8851,0.1149
MER_00073,FOOD_DELIVERY,MEDIUM,9905.73,0.8881,0.1119
MER_00074,FOOD_DELIVERY,MEDIUM,5401.12,0.9649,0.0351
MER_00075,EDUCATION,SMALL,18185.27,0.9412,0.0588
MER_00076,RETAIL,SMALL,3701.29,0.793,0.207
MER_00077,TRAVEL,MEDIUM,2007.39,0.9835,0.0165
MER_00078,E_COMMERCE,LARGE,10945.16,0.9248,0.0752
MER_00079,FOOD_DELIVERY,LARGE,412.23,0.9077,0.0923
MER_00080,EDUCATION,SMALL,3258.46,0.9582,0.0418
MER_00081,FOOD_DELIVERY,MEDIUM,42052.11,0.8971,0.1029
MER_00082,DIGITAL_SERVICES,SMALL,5119.5,0.9572,0.0428
MER_00083,FOOD_DELIVERY,MEDIUM,6899.34,0.9485,0.0515
MER_00084,SAAS,LARGE,2123.34,0.8109,0.1891
MER_00085,EDUCATION,SMALL,4896.74,0.8068,0.1932
